action_key,description,request_format,target,amount,hostile
gts_trample,trample,gts_trample|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_strong_stomp,strong stomp,gts_strong_stomp|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_light_stomp,light stomp,gts_light_stomp|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_hand_swipe,hand swipe,gts_hand_swipe|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_hand_crush,hand crush,gts_hand_crush|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_roll_attack,roll attack,gts_roll_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_crush_start,thigh crush start,gts_thigh_crush_start|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_crush_attack,thigh crush attack,gts_thigh_crush_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_crush_exit,thigh crush exit,gts_thigh_crush_exit|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_sandwich_start,thigh sandwich start,gts_thigh_sandwich_start|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_thigh_sandwich_attack,thigh sandwich attack,gts_thigh_sandwich_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_sandwich_heavy_attack,thigh sandwich heavy attack,gts_thigh_sandwich_heavy_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_thigh_sandwich_exit,thigh sandwich exit,gts_thigh_sandwich_exit|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_butt_crush_start,butt crush start,gts_butt_crush_start|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_butt_crush_attack,butt crush attack,gts_butt_crush_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_butt_crush_exit,butt crush exit,gts_butt_crush_exit|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_breast_crush_start,breast crush start,gts_breast_crush_start|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_breast_crush_attack,breast crush attack,gts_breast_crush_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_breast_crush_exit,breast crush exit,gts_breast_crush_exit|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_put_between_breasts,put between breasts,gts_put_between_breasts|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_breast_suffocate,breast suffocate,gts_breast_suffocate|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_breast_absorb,breast absorb,gts_breast_absorb|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_breast_vore,breast vore,gts_breast_vore|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_remove_from_breasts,remove from breasts,gts_remove_from_breasts|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_knee_crush_start,knee crush start,gts_knee_crush_start|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_knee_crush_attack,knee crush attack,gts_knee_crush_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_knee_crush_exit,knee crush exit,gts_knee_crush_exit|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_grab_attack,grab attack,gts_grab_attack|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_grab_eat,grab eat,gts_grab_eat|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_grab_throw,grab throw,gts_grab_throw|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,True
gts_grab_insert_breasts,grab insert breasts,gts_grab_insert_breasts|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
gts_grab_release,grab release,gts_grab_release|target|amount,"Player, self, crosshair, or exact visible/nearby actor display name",Growth/shrink/scale amount. Use 0.25 unless the action needs a different size value.,False
